DSSAT Tree Node,Comments,In DSSAT currently?,Change suggestions,
Cereals,Cereal and grain crops,Y,,
Legumes,"Pulses, legumes",Y,,
Root Crops,"Roots, tubers, corms",Y,,
Oil Crops,,Y,,
Vegetables,,Y,,
Fiber,,Y,,
Forages,,Y,,
Sugar/Energy,"Sugar, biomass, biofuels, bioenergy",Y,,
Fruit Crops,,Y,,
Various,,Y,,
Beverage,,N,change to Beverage crops?,
Latex,,N,change to specialty?,
Nut,,N,change to Nut crops?,
Pseudocereal,,N,Change to Pseudocereals?,
Specialty,,N,Change to Specialty crops?,
Pharmaceutical,,N,,
